Year,earth_land_total,earth_ocean_total
1979,5.356553611188869,-0.3236077783153496
1980,5.300558134757794,-0.2908737891836263
1981,5.13757184201619,-1.4241221791209724
1982,5.093575289930995,-2.116814110691082
1983,5.074577007965498,0.9671074073543289
1984,5.257561864143216,-1.0196205691077
1985,5.416548627642786,-0.9573199980565281
1986,5.582534766873294,-1.463503153757918
1987,5.724522732411095,0.7331209396058732
1988,5.935505211972669,-1.0209796138851908
1989,6.0654945372910944,-2.5565914197799127
1990,6.064494562064948,-2.044546474544882
1991,6.132488298159367,-2.8881539748067926
1992,6.071493531665746,-3.07322579961209
1993,6.062494779543426,-2.628678180397376
1994,6.167486011709172,-0.579520718989078
1995,6.299474811747616,-0.8199843115071518
1996,6.4414628315534825,-2.8738750476197223
1997,6.548454294416162,-0.7908956189503739
1998,6.567452696014163,-0.2065201144794992
1999,6.553453873380312,-2.5344604338473182
2000,6.724439411858732,-2.1154704496453642
2001,6.885425824671801,-2.0572989271754683
2002,6.985417666409153,-0.45635118797188723
2003,7.36738578083914,-1.3267545522947546
2004,7.7333550524393075,-3.2535268676255646
2005,8.032330404016927,-1.7019183495255277
2006,8.323306009048565,-3.004873341854939
2007,8.49029243723161,-2.1342889434082615
2008,8.76526946119297,-3.522366179036869
2009,8.688275802650933,-3.301289881279054
2010,9.120239948674321,-2.6050459192541227
2011,9.494208419734742,-3.8069316392751498
2012,9.666194460327434,-2.221949246531738
2013,9.764186256706004,-2.824025075192091
2014,9.847179162052232,-3.44499154051121
2015,9.83018076459912,-1.9161172001506397
2016,9.874177133414639,-2.247853674093967
2017,9.99816584024937,-3.844661650237151
