Year,earth_land_total,earth_ocean_total
1985,5.415937141435364,-0.9060276647791932
1986,5.581620762225714,-1.2748637075603406
1987,5.723752380254578,0.5586294882949647
1988,5.934669845689147,-0.41468436485016813
1989,6.064519909951296,-1.5663607795667502
1990,6.062803884519362,-1.2484157411274075
1991,6.130491539510412,-1.9685362012886602
1992,6.069446788521785,-2.488436042082495
1993,6.0602772043707445,-1.78341191203933
1994,6.16542286925516,-0.6168676206235473
1995,6.2979073535398165,-0.052592037164989835
1996,6.439796693936909,-1.4789676842842614
1997,6.547004749302733,-0.6002698340169288
1998,6.565311465060435,0.9023270097103133
1999,6.551079664353197,-1.6696488309496753
2000,6.721371629537759,-1.1986754965277253
2001,6.882453701575867,-0.8718360703106974
2002,6.982124980814131,-0.26406175894828476
2003,7.363948345756331,-0.6141301876528343
2004,7.729192600647143,-2.17479155255597
2005,8.028112951568326,-0.660364140419617
2006,8.318818408523484,-2.3768026853451794
2007,8.486391940179736,-1.737270113059598
2008,8.761231056066086,-2.6618449140796354
2009,8.68406107518846,-2.5227924965414052
2010,9.115974342915239,-1.7604277663278478
2011,9.489859538792235,-3.039925560366315
2012,9.661611879664536,-1.7192601429341203
2013,9.75993598107735,-1.8509084006502634
2014,9.842913291768333,-3.2534366358283227
2015,9.82591914248581,-1.6173573418212424
2016,9.869906226681234,-1.351663205464308
2017,9.993818655792596,-3.1079989064868956
