Year,earth_land_total,earth_ocean_total
1979,-5.680161369994764,-6.41064201733702
1980,-5.591431903287763,-6.4399363752192125
1981,-6.561694025615659,-6.238907113534123
1982,-7.210389411910388,-6.546253909969426
1983,-4.107469589989968,-6.7126592051208185
1984,-6.277182431146846,-7.018764640309039
1985,-6.373868627303774,-6.884406393377961
1986,-7.046037912173643,-6.992405226037937
1987,-4.991401778354234,-7.122182743069872
1988,-6.956484848423847,-6.898995362245174
1989,-8.622085975935375,-7.102853286478041
1990,-8.109041040812494,-7.247840448573132
1991,-9.020642264966305,-7.174223865080128
1992,-9.14471933083345,-7.541567253495782
1993,-8.69117297631862,-7.2629133510777315
1994,-6.747006715461947,-7.588546310327677
1995,-7.119459151899988,-7.8639757708996845
1996,-9.315337880473898,-7.646651632672044
1997,-7.3393499192991865,-8.113308309530371
1998,-6.773972813017557,-7.917828342515101
1999,-9.087914314800352,-7.838269986813067
2000,-8.839909852733305,-8.23127320122541
2001,-8.942724736064916,-8.368731205867318
2002,-7.441768834693018,-8.373786290560892
2003,-8.69414033630222,-9.076172719873178
2004,-10.986881918132237,-8.874033901420173
2005,-9.734248745329108,-9.432669988821074
2006,-11.328179348581473,-10.090472730120622
2007,-10.624581382197722,-10.217655245617362
2008,-12.287635638091007,-10.545729707266005
2009,-11.989565683633034,-10.40900477867336
2010,-11.725285880059573,-10.96413587243105
2011,-13.301140062498098,-11.740768617537265
2012,-11.888143722670186,-11.819527209349038
2013,-12.58821134425357,-11.809917622320162
2014,-13.292170721452884,-11.973346523383967
2015,-11.746297959780888,-11.763570606714847
2016,-12.122030821192032,-11.940896535125772
2017,-13.842827464202907,-12.187144618241284
