Year,earth_land_total,earth_ocean_total
2000,-9.468178836583219,-9.329527693826648
2001,-8.814042525448667,-8.478273034817741
2002,-7.614168418099926,-8.353026217983928
2003,-7.869318426742343,-9.47856572279742
2004,-9.630861008073342,-10.113289181006676
2005,-8.607761095920743,-10.261857601489796
2006,-9.534865510819822,-11.604503971488732
2007,-9.763790292836557,-11.206232786459882
2008,-12.238728933650084,-11.055503532057905
2009,-11.479925753360304,-10.829484356541611
2010,-10.223014366184456,-11.63821913249506
2011,-12.596478009578464,-12.362126114665962
2012,-11.29522092022433,-12.652669162143262
2013,-11.406403367847728,-12.253064774833398
2014,-13.39678757035579,-12.734974564408848
2015,-11.61580191750435,-12.082608468730363
2016,-11.427520790407675,-11.760881539760627
2017,-12.086665324828564,-13.077915231539325
