Year,earth_land_total,earth_ocean_total
1996,-7.92272825255024,-8.044384364922427
1997,-7.264732300857373,-7.8069027540222145
1998,-6.1863456631970095,-8.118808419210103
1999,-8.478747570065444,-8.059326904315524
2000,-8.223831319324567,-8.356453991094918
2001,-8.54038891568773,-8.522931602030141
2002,-7.273375295352063,-8.402857981713739
2003,-8.445354032397956,-8.796417048243228
2004,-10.169422681037782,-9.194771031217506
2005,-9.522772381093613,-9.251322266998386
2006,-10.701703580353339,-10.0178325707143
2007,-10.95860145968951,-10.05538139464654
2008,-12.285439007797414,-10.513501487006533
2009,-12.035860097425129,-10.25425464278399
2010,-11.758390827079806,-10.569475344243381
2011,-13.527534259883875,-11.428560052123125
2012,-12.309739338003359,-11.362752501746645
2013,-12.65238930341075,-11.686220285462104
2014,-13.175808013242596,-12.077956238412767
2015,-11.764602915093656,-11.689495915691689
2016,-11.407668592178284,-11.540121412977067
2017,-13.61174778613474,-12.08925910699526
