Year,earth_land_total,earth_ocean_total
1985,-6.321964807172752,-6.866629622161096
1986,-6.856484473653733,-7.1673814764648585
1987,-5.165122886868191,-7.080335565979459
1988,-6.349354205350979,-7.072564902154156
1989,-7.630880685892239,-7.948379273116313
1990,-7.311219622668603,-7.830050991127245
1991,-8.09902774335584,-8.129468345762804
1992,-8.55788282746753,-8.210300092994208
1993,-7.843689118827972,-7.847891565314141
1994,-6.7822904885951605,-7.668220568922939
1995,-6.350499388920714,-8.30951639435969
1996,-7.918764384999985,-8.68814295165699
1997,-7.147274585880496,-8.532012051247891
1998,-5.662984469982784,-8.416329732605291
1999,-8.22072849428441,-8.688769651270258
2000,-7.92004712551486,-8.991726713590337
2001,-7.754289775996734,-9.080172270175856
2002,-7.246186738428792,-8.74829481083768
2003,-7.978078536348817,-9.437901811448294
2004,-9.903984156881258,-9.876672754546625
2005,-8.68847710056426,-9.897786225761571
2006,-10.69562109510902,-10.866287745149505
2007,-10.223662055067264,-10.518157032091425
2008,-11.423075971939566,-11.254266818730283
2009,-11.206853559462592,-11.082602890102983
2010,-10.876402100222034,-11.444849918075567
2011,-12.529785092332846,-12.189514351525833
2012,-11.380872019276529,-12.204242406138727
2013,-11.610844384730312,-12.303143908667444
2014,-13.09634992980411,-12.555495843391379
2015,-11.443276474858225,-11.824847794952422
2016,-11.2215694283658,-12.020304174561709
2017,-13.101817563242635,-12.481240856210762
