,Rayner,CAMS,JAMSTEC,JENA_s76,JENA_s85,CTRACKER,GCP
1960-1970,,,,,,,0.002169502605454543
1970-1980,,,,,,,-0.0072140079027272815
1976-1979,,,,0.16817822768179205,,,
1980-1989,,-0.06393525199707202,,0.01614297993438788,,,
1980-1990,,,,,,,-0.13373915597545455
1985-1989,,,,,-0.04604868868649412,,
1990-1999,,0.1502897460466217,,0.11736965538359226,0.1649902059129939,,
1990-2000,,,,,,,-0.13017918867090908
1992-2001,0.07512226413579669,,,,,,
1996-1999,,,-0.023391349699920315,,,,
2000-2009,,-0.1987895895484571,-0.2637513006894935,-0.1952604986237001,-0.2156772530788057,-0.0924088591587641,
2000-2010,,,,,,,-0.05490243689000003
2002-2011,-0.3247972816965547,,,,,,
2007-2017,,,,,,,0.01782893230636364
2010-2017,,-0.006968935918465501,0.0876994993183347,-0.015714214362302366,-0.024863167124318124,-0.01819427394581651,
