,Rayner,CAMS,JAMSTEC,JENA_s76,JENA_s85,CTRACKER,GCP
1960-1970,,,,,,,-0.041244831
1970-1980,,,,,,,-0.0364333304
1980-1990,,0.0212346361,,-0.0382643641,,,-0.0135054451
1990-2000,,-0.0249424261,,0.0201944971,-0.0303747452,,0.0008605014
1992-2001,-0.026209183,,,,,,
2000-2010,-0.0428325457,-0.0406810869,-0.0025063425,-0.0369523163,-0.0326555061,-0.0601348872,-0.0393245244
2007-2017,,-0.0404983011,-0.0428416764,0.005075527,-0.0029078351,-0.0080355266,-0.0400114298
,,,,,,,
1976-1985,,,,-0.0132980397,,,
1985-1995,,,,,-0.053516893,,
1996-2005,,,0.0176705274,,,,
2007-2017,,-0.0404983011,-0.0428416764,0.005075527,-0.0029078351,-0.0080355266,-0.0400114298
