Year,earth_land_total,earth_ocean_total
1979,-0.3236077783153496,-1.054088406558767
1980,-0.2908737891836263,-1.1393782384032445
1981,-1.4241221791209724,-1.1013352708231392
1982,-2.116814110691082,-1.4526786230029882
1983,0.9671074073543289,-1.638082197595324
1984,-1.0196205691077,-1.7612027782258635
1985,-0.9573199980565281,-1.4678577677347628
1986,-1.463503153757918,-1.4098704584877795
1987,0.7331209396058732,-1.3976600109537691
1988,-1.0209796138851908,-0.9634901487364287
1989,-2.5565914197799127,-1.0373587474709702
1990,-2.044546474544882,-1.1833458860674058
1991,-2.8881539748067926,-1.041735567846906
1992,-3.07322579961209,-1.4700737236675203
1993,-2.628678180397376,-1.2004185710277222
1994,-0.579520718989078,-1.421060296909746
1995,-0.8199843115071518,-1.5645009608118035
1996,-2.8738750476197223,-1.2051888060020175
1997,-0.7908956189503739,-1.5648540167632354
1998,-0.2065201144794992,-1.3503756476193853
1999,-2.5344604338473182,-1.2848161162871206
2000,-2.1154704496453642,-1.5068337877955265
2001,-2.0572989271754683,-1.4833053800897442
2002,-0.45635118797188723,-1.3883686241177586
2003,-1.3267545522947546,-1.7087869353492877
2004,-3.2535268676255646,-1.140678849761909
2005,-1.7019183495255277,-1.40033958312568
2006,-3.004873341854939,-1.767166722424976
2007,-2.1342889434082615,-1.7273628075656162
2008,-3.522366179036869,-1.7804602420197093
2009,-3.301289881279054,-1.7207289737325075
2010,-2.6050459192541227,-1.843895930203136
2011,-3.8069316392751498,-2.246560197272684
2012,-2.221949246531738,-2.1533327475995394
2013,-2.824025075192091,-2.045731362558686
2014,-3.44499154051121,-2.126167360475248
2015,-1.9161172001506397,-1.9333898412771284
2016,-2.247853674093967,-2.066719405321042
2017,-3.844661650237151,-2.1889787753558196
