Year,earth_land_total,earth_ocean_total
1996,6.443839036502029,-1.4788892141023702
1997,6.550921973973971,-0.7138103343604583
1998,6.570077226642842,0.38373157182068574
1999,6.556039908683362,-1.9227076818291535
2000,6.727114772526914,-1.496716534025475
2001,6.888178134040736,-1.652210786422713
2002,6.988145971037888,-0.2852293167991763
2003,7.370329052734399,-1.0750249883788645
2004,7.736180716531434,-2.4332419607923024
2005,8.035263279442633,-1.487509104618731
2006,8.326430066007712,-2.375273532510756
2007,8.493810341172333,-2.464791106906002
2008,8.76925480543441,-3.5161842134624655
2009,8.692662558638018,-3.3431975226623556
2010,9.12494394474397,-2.633446854512889
2011,9.49893789373872,-4.028596380004656
2012,9.671276607090777,-2.6384627241062075
2013,9.769353999939149,-2.8830353197582417
2014,9.8524246284233,-3.3233833933331214
2015,9.835449765540607,-1.929153148816223
2016,9.879502318645935,-1.528166254577512
2017,10.003590451723584,-3.6081573311829853
