Year,earth_land_total,earth_ocean_total
1992,-2.4469482280421326,-0.2521975003085757
1993,-3.3494102162588795,1.2413279516464315
1994,-0.7344973091205665,0.11297469159730678
1995,-0.8119558949942292,0.22552619567128948
1996,-2.3085229824488183,0.3961916428072284
1997,-0.5340008592791193,-0.4666306641883039
1998,1.018407946567014,-0.42608230358213256
1999,-2.136087786635439,0.14357767361418242
2000,-2.135034793093321,0.29812396521116585
2001,-2.0428499658234136,0.20149406735694977
2002,-0.4155319919253465,0.08921221567823429
2003,-1.019339283538535,-0.019894105230203074
2004,-2.4868737994101617,0.18982137118114717
2005,-0.9653138092898456,-0.11946426918535
2006,-2.9528609249637183,-0.3048333877486471
2007,-1.8192976960949676,-0.2735108212894786
2008,-3.5229951464687903,0.09241515530929842
2009,-3.0063740701599233,-0.39640324492593565
2010,-2.5140987491015316,0.032581684029178715
2011,-4.19233789021131,0.17938471808057543
2012,-2.768363607600785,-0.11965108353845448
