,JENA_s85 Ocean
2015-01-16 00:00:00,-0.20731834700510599
2015-02-16 00:00:00,-0.1780573979062663
2015-03-16 00:00:00,-0.1866891402016689
2015-04-16 00:00:00,-0.14527019790266726
2015-05-16 00:00:00,-0.1494360518000809
2015-06-16 00:00:00,-0.17921211245852844
2015-07-16 00:00:00,-0.2100223998928908
2015-08-16 00:00:00,-0.20521804356390988
2015-09-16 00:00:00,-0.20365984733620252
2015-10-16 00:00:00,-0.14628645486649464
2015-11-16 00:00:00,-0.08394375213842463
2015-12-16 00:00:00,-0.10381490938784486
