Year,CO2
1957,314.231
1958,314.838
1959,315.486
1960,316.163
1961,316.856
1962,317.558
1963,318.268
1964,318.997
1965,319.757
1966,320.56
1967,321.41
1968,322.31
1969,323.26
1970,324.259
1971,325.303
1972,326.392
1973,327.526
1974,328.702
1975,329.921
1976,331.187
1977,332.505
1978,333.874
1979,335.286
1980,336.732
1981,338.202
1982,339.69
1983,341.194
1984,342.712
1985,344.239
1986,345.771
1987,347.301
1988,348.822
1989,350.318
1990,351.782
1991,353.219
1992,354.64
1993,356.068
1994,357.527
1995,359.037
1996,360.604
1997,362.231
1998,363.916
1999,365.652
2000,367.431
2001,369.251
2002,371.114
2003,373.017
2004,374.952
2005,376.91
2006,378.887
2007,380.88
2008,382.892
2009,384.927
2010,386.995
2011,389.101
2012,391.248
2013,393.435
2014,395.651
2015,397.886
2016,400.13
2017,403.5225
