Year,SOI
1959.0416666668177,-8.7
1959.1250000001514,-14.0
1959.208333333485,8.4
1959.2916666668186,3.6
1959.3750000001519,2.8
1959.458333333485,-6.3
1959.5416666668186,-5.0
1959.6250000001519,-5.0
1959.7083333334854,0.2
1959.7916666668189,4.2
1959.8750000001528,11.1
1959.958333333486,8.2
1960.0416666668195,0.3
1960.1250000001528,-2.2
1960.2083333334867,5.6
1960.29166666682,7.8
1960.3750000001532,5.2
1960.458333333487,-2.3
1960.5416666668204,4.8
1960.6250000001542,6.6
1960.7083333334876,6.9
1960.791666666821,-0.7
1960.8750000001544,7.2
1960.9583333334879,6.7
1961.0416666668214,-2.5
1961.1250000001546,6.3
1961.2083333334886,-20.9
1961.2916666668216,9.4
1961.3750000001558,1.3
1961.4583333334888,-3.1
1961.5416666668225,2.2
1961.625000000156,0.1
1961.7083333334888,0.8
1961.7916666668227,-5.0
1961.875000000156,7.2
1961.9583333334895,13.8
1962.0416666668232,17.0
1962.125000000157,5.3
1962.20833333349,-1.4
1962.291666666824,1.2
1962.375000000157,12.3
1962.4583333334906,5.0
1962.541666666824,-0.4
1962.6250000001576,4.6
1962.7083333334908,5.1
1962.7916666668245,10.3
1962.875000000158,5.2
1962.9583333334915,0.6
1963.041666666825,9.4
1963.1250000001585,3.0
1963.2083333334922,7.3
1963.2916666668252,6.1
1963.375000000159,2.8
1963.4583333334924,-9.6
1963.541666666826,-1.0
1963.6250000001596,-2.4
1963.7083333334926,-5.2
1963.7916666668266,-12.9
1963.8750000001598,-9.3
1963.9583333334933,-11.6
1964.0416666668268,-4.0
1964.1250000001605,-0.3
1964.2083333334936,8.4
1964.2916666668275,13.5
1964.3750000001608,2.8
1964.4583333334945,7.4
1964.541666666828,6.8
1964.6250000001608,14.3
1964.708333333495,14.1
1964.791666666828,12.8
1964.8750000001614,2.6
1964.9583333334951,-3.0
1965.0416666668286,-4.0
1965.1250000001621,1.6
1965.208333333496,2.9
1965.2916666668289,-12.9
1965.3750000001623,-0.3
1965.458333333496,-12.8
1965.5416666668293,-22.6
1965.625000000163,-11.4
1965.7083333334965,-14.2
1965.7916666668302,-11.1
1965.8750000001635,-17.9
1965.958333333497,1.6
1966.0416666668305,-12.0
1966.125000000164,-4.1
1966.2083333334974,-13.9
1966.2916666668311,-7.1
1966.3750000001644,-9.0
1966.4583333334976,1.0
1966.5416666668314,-1.0
1966.6250000001648,4.0
1966.7083333334986,-2.2
1966.791666666832,-2.5
1966.875000000165,-0.1
1966.9583333334988,-4.0
1967.0416666668325,14.6
1967.1250000001653,12.9
1967.2083333334992,7.8
1967.291666666833,-3.0
1967.3750000001667,-3.5
1967.4583333335001,6.6
1967.541666666833,1.6
1967.6250000001667,5.9
1967.7083333335001,5.1
1967.7916666668334,-0.1
1967.8750000001673,-4.0
1967.9583333335006,-5.5
1968.041666666834,4.1
1968.1250000001683,9.6
1968.208333333501,-3.0
1968.2916666668343,-3.0
1968.3750000001683,14.7
1968.4583333335013,12.3
1968.541666666835,7.4
1968.6250000001685,0.1
1968.708333333502,-2.8
1968.7916666668357,-1.9
1968.8750000001692,-3.4
1968.9583333335024,2.1
1969.041666666836,-13.5
1969.1250000001694,-6.9
1969.2083333335029,1.8
1969.2916666668366,-8.8
1969.3750000001694,-6.6
1969.4583333335033,-0.6
1969.5416666668368,-6.9
1969.6250000001705,-4.4
1969.708333333504,-10.6
1969.791666666837,-11.7
1969.875000000171,-0.1
1969.958333333504,3.7
1970.0416666668375,-10.1
1970.1250000001712,-10.7
1970.2083333335047,1.8
1970.2916666668384,-4.6
1970.3750000001721,2.1
1970.4583333335047,9.9
1970.5416666668384,-5.6
1970.6250000001721,4.0
1970.7083333335056,12.9
1970.791666666839,10.3
1970.8750000001728,19.7
