Year  Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec    Ann
1959  0.058  0.051  0.030  0.050  0.088  0.031  0.052  0.084  0.054  0.055 -0.025 -0.033  0.041
1960 -0.032 -0.031 -0.010 -0.059  0.001 -0.052  0.058  0.042  0.077 -0.025 -0.018  0.022 -0.002
1961  0.037  0.129  0.101  0.101  0.089  0.113  0.064  0.058 -0.062  0.022  0.005 -0.013  0.053
1962 -0.021  0.021  0.007  0.015  0.011 -0.028  0.072  0.043  0.006  0.022 -0.019 -0.031  0.010
1963 -0.050 -0.055 -0.025  0.023  0.081  0.035  0.127  0.151  0.093  0.108  0.112  0.080  0.059
1964 -0.019 -0.030 -0.091 -0.104 -0.112 -0.060 -0.120 -0.247 -0.258 -0.170 -0.272 -0.288 -0.149
1965 -0.170 -0.139 -0.202 -0.146 -0.154 -0.149 -0.160 -0.080 -0.052 -0.028 -0.030 -0.014 -0.109
1966 -0.004 -0.007  0.006  0.033 -0.085 -0.005  0.048  0.008 -0.024 -0.011 -0.013  0.031 -0.001
1967 -0.094 -0.086 -0.048 -0.075  0.016  0.009 -0.007 -0.007 -0.056 -0.088 -0.070 -0.183 -0.056
1968 -0.196 -0.231 -0.214 -0.157 -0.127  0.009 -0.026  0.031  0.031  0.060  0.051  0.128 -0.053
1969  0.158  0.163  0.174  0.172  0.217  0.094  0.014  0.084  0.058  0.055  0.063  0.104  0.114
1970  0.131  0.044  0.040  0.059 -0.007 -0.051 -0.096 -0.062 -0.061 -0.014 -0.030 -0.056 -0.010
1971 -0.115 -0.191 -0.210 -0.162 -0.187 -0.208 -0.137 -0.213 -0.194 -0.205 -0.194 -0.264 -0.190
1972 -0.119 -0.071 -0.087 -0.041 -0.027  0.001  0.021  0.007 -0.011  0.016  0.128  0.246  0.005
1973  0.163  0.135  0.126  0.079  0.025  0.025  0.011  0.021 -0.033 -0.080 -0.105 -0.184  0.015
1974 -0.238 -0.237 -0.218 -0.184 -0.186 -0.145 -0.164 -0.071 -0.065 -0.141 -0.155 -0.141 -0.162
1975 -0.182 -0.106 -0.137 -0.190 -0.133 -0.165 -0.134 -0.136 -0.223 -0.233 -0.310 -0.335 -0.190
1976 -0.333 -0.300 -0.229 -0.238 -0.292 -0.216 -0.128 -0.138 -0.173 -0.083 -0.044  0.014 -0.180
1977  0.081  0.041  0.023 -0.026 -0.002  0.013  0.029 -0.018  0.024 -0.025 -0.015 -0.059  0.005
1978  0.012 -0.037 -0.020 -0.102 -0.083 -0.096 -0.052 -0.112 -0.062 -0.132 -0.033 -0.032 -0.062
1979  0.023  0.014  0.046  0.076 -0.032  0.073  0.056  0.056  0.068  0.079  0.140  0.167  0.063
1980  0.157  0.145  0.170  0.093  0.046  0.046  0.053  0.010 -0.001 -0.056 -0.003 -0.009  0.054
1981 -0.017 -0.062  0.021 -0.008  0.033  0.100  0.078  0.028  0.064  0.012 -0.004  0.068  0.027
1982  0.031 -0.033 -0.027 -0.016  0.044 -0.029 -0.053 -0.049  0.026  0.075  0.073  0.116  0.013
1983  0.221  0.171  0.133  0.124  0.154  0.179  0.107  0.112  0.091  0.046  0.047  0.050  0.119
1984  0.037  0.036  0.019  0.003 -0.021 -0.051 -0.034  0.016  0.075 -0.069 -0.055 -0.066 -0.010
1985 -0.037 -0.018 -0.040 -0.090 -0.050 -0.069 -0.023 -0.030 -0.013  0.006 -0.076 -0.020 -0.040
1986 -0.081 -0.023 -0.029 -0.039 -0.036 -0.008  0.005 -0.019  0.020  0.048  0.013 -0.006 -0.013
1987  0.008  0.030  0.086  0.049  0.119  0.108  0.201  0.256  0.239  0.195  0.261  0.185  0.145
1988  0.243  0.215  0.190  0.158  0.151  0.134  0.142  0.128  0.071  0.021 -0.053 -0.094  0.108
1989 -0.032 -0.009  0.002  0.033  0.053  0.060  0.167  0.196  0.130  0.065  0.083  0.075  0.069
1990  0.108  0.197  0.204  0.239  0.203  0.204  0.220  0.214  0.180  0.249  0.185  0.173  0.198
1991  0.183  0.154  0.188  0.254  0.255  0.163  0.242  0.224  0.151  0.107  0.077  0.097  0.174
1992  0.138  0.160  0.153  0.159  0.187  0.179  0.085  0.040  0.020 -0.007 -0.034 -0.001  0.090
1993  0.164  0.082  0.112  0.080  0.148  0.158  0.096  0.084  0.105  0.064  0.120  0.032  0.104
1994  0.083  0.065  0.136  0.111  0.187  0.150  0.167  0.171  0.121  0.192  0.207  0.183  0.146
1995  0.182  0.219  0.213  0.158  0.149  0.209  0.298  0.266  0.152  0.162  0.171  0.094  0.188
1996  0.113  0.188  0.182  0.185  0.152  0.122  0.158  0.174  0.107  0.101  0.076  0.129  0.140
1997  0.100  0.152  0.214  0.162  0.259  0.342  0.370  0.404  0.416  0.468  0.472  0.477  0.318
1998  0.419  0.478  0.482  0.489  0.498  0.468  0.526  0.487  0.293  0.288  0.312  0.270  0.416
1999  0.158  0.215  0.268  0.248  0.200  0.213  0.221  0.176  0.217  0.146  0.171  0.148  0.197
2000  0.171  0.167  0.184  0.228  0.213  0.197  0.212  0.285  0.262  0.228  0.262  0.182  0.216
2001  0.208  0.245  0.366  0.341  0.280  0.366  0.379  0.401  0.376  0.357  0.356  0.305  0.329
2002  0.365  0.329  0.453  0.388  0.389  0.403  0.351  0.369  0.326  0.384  0.304  0.382  0.368
2003  0.343  0.364  0.405  0.347  0.344  0.401  0.435  0.478  0.465  0.448  0.387  0.315  0.393
2004  0.359  0.352  0.314  0.375  0.320  0.283  0.382  0.405  0.401  0.369  0.367  0.342  0.354
2005  0.356  0.331  0.375  0.391  0.401  0.428  0.463  0.500  0.432  0.399  0.343  0.292  0.389
2006  0.296  0.327  0.278  0.332  0.347  0.356  0.394  0.465  0.412  0.405  0.405  0.398  0.365
2007  0.402  0.392  0.304  0.294  0.288  0.356  0.369  0.304  0.293  0.255  0.180  0.138  0.296
2008  0.136  0.154  0.188  0.209  0.238  0.255  0.365  0.379  0.378  0.325  0.251  0.254  0.259
2009  0.297  0.247  0.257  0.334  0.382  0.515  0.523  0.505  0.386  0.417  0.416  0.495  0.395
2010  0.453  0.462  0.470  0.501  0.455  0.441  0.500  0.439  0.352  0.314  0.254  0.258  0.406
2011  0.244  0.271  0.271  0.285  0.308  0.350  0.380  0.373  0.303  0.240  0.261  0.206  0.290
2012  0.214  0.247  0.245  0.303  0.361  0.356  0.398  0.440  0.429  0.437  0.409  0.343  0.346
2013  0.292  0.309  0.287  0.364  0.382  0.314  0.479  0.483  0.457  0.391  0.424  0.350  0.376
2014  0.342  0.314  0.347  0.478  0.477  0.563  0.551  0.644  0.574  0.528  0.480  0.450  0.477
2015  0.440  0.406  0.424  0.557  0.593  0.575  0.637  0.665  0.725  0.699  0.691  0.717  0.592
2016  0.732  0.611  0.690  0.654  0.595  0.622  0.670  0.654  0.606  0.601  0.490  0.447  0.613
2017  0.484  0.520  0.550  0.598  0.564  0.540  0.540  0.606  0.431  0.487  0.427  0.329  0.505
2018  0.379  0.356  0.411  0.468  0.486  0.476  0.469  0.534  0.535  0.557  0.587  0.531  0.480
