Year,Temp
1959,14.03
1960,13.98
1961,14.06
1962,14.04
1963,14.05
1964,13.8
1965,13.89
1966,13.94
1967,13.98
1968,13.92
1969,14.06
1970,14.03
1971,13.92
1972,14.01
1973,14.16
1974,13.93
1975,13.99
1976,13.9
1977,14.18
1978,14.07
1979,14.17
1980,14.26
1981,14.32
1982,14.14
1983,14.31
1984,14.16
1985,14.12
1986,14.18
1987,14.32
1988,14.39
1989,14.27
1990,14.45
1991,14.41
1992,14.22
1993,14.23
1994,14.32
1995,14.45
1996,14.33
1997,14.47
1998,14.61
1999,14.39
2000,14.4
2001,14.54
2002,14.63
2003,14.63
2004,14.54
2005,14.68
2006,14.64
2007,14.67
2008,14.55
2009,14.66
2010,14.73
2011,14.61
2012,14.65
2013,14.69
2014,14.75
2015,14.9
2016,15.02
2017,14.93
