"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from daily flask and in situ (continuous) data. "
" South Pole 0W 90S                                                                         "
"  In situ data is sporadically used only during a limited time period from 1960 to 1963"
"  Outside this period, the record is entirely flask-based"
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 15-Jan-2018 last updated 29-Oct-2018                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2008A SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1957, 01,   20835, 1957.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1957, 02,   20866, 1957.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1957, 03,   20894, 1957.2027,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1957, 04,   20925, 1957.2877,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1957, 05,   20955, 1957.3699,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1957, 06,   20986, 1957.4548,   312.78,   312.99,     313.07,   313.28,     312.78,   312.99
1957, 07,   21016, 1957.5370,   -99.99,   -99.99,     313.50,   313.45,     313.50,   313.45
1957, 08,   21047, 1957.6219,   -99.99,   -99.99,     313.97,   313.61,     313.97,   313.61
1957, 09,   21078, 1957.7068,   -99.99,   -99.99,     314.29,   313.78,     314.29,   313.78
1957, 10,   21108, 1957.7890,   -99.99,   -99.99,     314.40,   313.93,     314.40,   313.93
1957, 11,   21139, 1957.8740,   -99.99,   -99.99,     314.40,   314.08,     314.40,   314.08
1957, 12,   21169, 1957.9562,   314.48,   314.33,     314.36,   314.22,     314.48,   314.33
1958, 01,   21200, 1958.0411,   -99.99,   -99.99,     314.27,   314.35,     314.27,   314.35
1958, 02,   21231, 1958.1260,   -99.99,   -99.99,     314.13,   314.46,     314.13,   314.46
1958, 03,   21259, 1958.2027,   314.28,   314.75,     314.09,   314.56,     314.28,   314.75
1958, 04,   21290, 1958.2877,   -99.99,   -99.99,     314.21,   314.65,     314.21,   314.65
1958, 05,   21320, 1958.3699,   -99.99,   -99.99,     314.37,   314.73,     314.37,   314.73
1958, 06,   21351, 1958.4548,   314.51,   314.72,     314.59,   314.80,     314.51,   314.72
1958, 07,   21381, 1958.5370,   -99.99,   -99.99,     314.92,   314.87,     314.92,   314.87
1958, 08,   21412, 1958.6219,   -99.99,   -99.99,     315.29,   314.93,     315.29,   314.93
1958, 09,   21443, 1958.7068,   315.33,   314.82,     315.51,   315.00,     315.33,   314.82
1958, 10,   21473, 1958.7890,   -99.99,   -99.99,     315.54,   315.06,     315.54,   315.06
1958, 11,   21504, 1958.8740,   -99.99,   -99.99,     315.45,   315.13,     315.45,   315.13
1958, 12,   21534, 1958.9562,   -99.99,   -99.99,     315.34,   315.20,     315.34,   315.20
1959, 01,   21565, 1959.0411,   315.09,   315.17,     315.19,   315.27,     315.09,   315.17
1959, 02,   21596, 1959.1260,   315.13,   315.46,     315.01,   315.34,     315.13,   315.46
1959, 03,   21624, 1959.2027,   315.08,   315.55,     314.94,   315.41,     315.08,   315.55
