Year,fossil fuel and industry,land-use change emissions,atmospheric growth,ocean sink,land sink,budget imbalance
1750,,,-0.077592,,0.2139430839,
1751,0.003,,-0.073988,,-0.5088796215,
1752,0.003,,-0.070596,,-0.3592925915,
1753,0.003,,-0.067628,,0.0145509583,
1754,0.003,,-0.064024,,-0.2700701048,
1755,0.003,,-0.058088,,-0.1141693968,
1756,0.003,,-0.050244,,0.3234328658,
1757,0.003,,-0.04028,,0.5218306241,
1758,0.003,,-0.028408,,-0.0111920303,
1759,0.003,,-0.014204,,-0.5403550827,
1760,0.003,,0.001908,,-0.0296095398,
1761,0.003,,0.02014,,-0.6492567904,
1762,0.003,,0.040492,,-0.5806798611,
1763,0.003,,0.062752,,0.3547783251,
1764,0.003,,0.087344,,0.4895469388,
1765,0.003,,0.11236,,-0.2308486681,
1766,0.003,,0.135256,,0.1761303114,
1767,0.003,,0.156032,,0.3082812648,
1768,0.003,,0.174476,,0.324101901,
1769,0.003,,0.190588,,0.0852742393,
1770,0.003,,0.20458,,0.1437561742,
1771,0.004,,0.216452,,-0.1990323576,
1772,0.004,,0.225992,,-0.3089187613,
1773,0.004,,0.2332,,0.0273569079,
1774,0.004,,0.238288,,-0.0882033418,
1775,0.004,,0.242528,,0.0635586741,
1776,0.004,,0.248464,,0.4209917379,
1777,0.004,,0.256308,,0.6379241999,
1778,0.004,,0.26606,,0.0980915222,
1779,0.004,,0.27772,,-0.3875933828,
1780,0.004,,0.2915,,0.240342098,
1781,0.005,,0.31482,0.07433,-0.5068638402,
1782,0.005,,0.348316,0.082155,-0.4674177294,
1783,0.005,,0.378844,0.08952,0.6472238418,
1784,0.005,,0.40598,0.10207,0.765466266,
1785,0.005,,0.429512,0.104205,0.0520122474,
1786,0.005,,0.44944,0.11673,0.3997675051,
1787,0.005,,0.465764,0.12393,0.5173985182,
1788,0.005,,0.478696,0.131105,0.5319706258,
1789,0.005,,0.488024,0.13301,0.2085392023,
1790,0.005,,0.493748,0.14019,0.4187322367,
1791,0.006,,0.495868,0.147095,-0.1104482639,
1792,0.006,,0.494384,0.14901,0.1303633803,
1793,0.006,,0.489296,0.15568,0.2443297979,
1794,0.006,,0.480816,0.15749,0.3313857749,
1795,0.006,,0.468732,0.163805,0.27636468,
1796,0.006,,0.45474,0.164995,0.6207011051,
1797,0.007,,0.439476,0.1658,1.0076587811,
1798,0.007,,0.42188,0.16673,0.5030287536,
1799,0.007,,0.401952,0.167235,0.0032673309,
1800,0.008,,0.38054,0.17277,0.4254952807,
1801,0.008,,0.361672,0.173235,-0.1850336787,
1802,0.01,,0.34238,0.173365,-0.1148946554,
1803,0.009,,0.321816,0.17367,0.8650603787,
1804,0.009,,0.300192,0.17359,0.9535937181,
1805,0.009,,0.277296,0.17356,0.1677411134,
1806,0.01,,0.25334,0.173505,0.5366574015,
1807,0.01,,0.228112,0.173135,0.6554068801,
1808,0.01,,0.201824,0.17295,0.5930738541,
1809,0.01,,0.174264,0.17259,0.3718073021,
1810,0.01,,0.145644,0.17252,0.5347648236,
1811,0.011,,0.115752,0.16692,-0.1269979738,
1812,0.011,,0.0848,0.16627,0.039962172,
1813,0.011,,0.052576,0.165735,0.3914881804,
1814,0.011,,0.019292,0.16021,0.2418963584,
1815,0.012,,-0.014628,0.15963,0.3474867148,
1816,0.013,,-0.044308,0.15875,0.6410649249,
1817,0.014,,-0.067628,0.15806,0.8685171119,
1818,0.014,,-0.0848,0.15751,0.3301378994,
1819,0.014,,-0.095612,0.15205,-0.2182283637,
1820,0.014,,-0.099852,0.15117,0.3338170497,
1821,0.014,,-0.098156,0.15066,-0.4459376577,
1822,0.015,,-0.089888,0.149595,-0.2641775174,
1823,0.016,,-0.07526,0.144045,0.527429642,
1824,0.016,,-0.054484,0.14338,0.734698487,
1825,0.017,,-0.027348,0.14237,0.1177468366,
1826,0.017,,0.006148,0.14153,0.4217623996,
1827,0.018,,0.043248,0.1408,0.540096029,
1828,0.018,,0.068264,0.140145,0.5165582105,
1829,0.018,,0.088192,0.13505,0.1937970639,
1830,0.024,,0.106424,0.13455,0.3702191676,
1831,0.023,,0.122324,0.134,-0.094052968,
1832,0.023,,0.136528,0.13352,0.0276274055,
1833,0.024,,0.148612,0.13358,0.2499789899,
1834,0.024,,0.160484,0.1337,0.0072798431,
1835,0.025,,0.179352,0.133975,0.2850230047,
1836,0.029,,0.205428,0.13412,0.6086968219,
1837,0.029,,0.237016,0.134745,0.8000693196,
1838,0.03,,0.274116,0.13561,0.2784663129,
1839,0.031,,0.316092,0.136535,-0.1541254007,
1840,0.033,,0.361248,0.132865,0.3640010207,
1841,0.034,,0.408948,0.13897,-0.364745941,
1842,0.036,,0.454528,0.140425,-0.3808996811,
1843,0.037,,0.479544,0.14147,0.7883143841,
1844,0.039,,0.479332,0.14274,0.8635699592,
1845,0.043,,0.456436,0.14418,0.159535486,
1846,0.043,,0.421456,0.150135,0.415736048,
1847,0.046,,0.376936,0.15123,0.6138044999,
1848,0.047,,0.323088,0.1572,0.6398677696,
1849,0.05,,0.259276,0.15831,0.271892484,
1850,0.054,0.6878124093,0.18868,0.164195,0.3917768473,-0.002839438
1851,0.054,0.6917828964,0.125504,0.165485,-0.0942948192,0.5490887156
1852,0.057,0.6967110608,0.069536,0.171645,0.1144817181,0.3980483427
1853,0.059,0.7019043305,0.00954,0.172905,0.2227954986,0.3556638318
1854,0.069,0.7046580617,-0.038796,0.17432,0.2367364957,0.4013975661
1855,0.071,0.7067070177,-0.063388,0.18083,0.3055209105,0.3547441072
1856,0.076,0.7107563729,-0.063176,0.18227,0.6048618306,0.0628005424
1857,0.077,0.7174014745,-0.052788,0.18896,0.8749370401,-0.2167075656
1858,0.078,0.722895862,-0.036252,0.19561,0.4357972001,0.2057406619
1859,0.083,0.7257297289,-0.01378,0.1976,-0.1538088103,0.7787185391
1860,0.091,0.6964274448,0.01484,0.19967,0.2920067246,0.2809107202
1861,0.095,0.6870172405,0.05088,0.206965,-0.3886243407,0.9127965812
1862,0.097,0.6828662788,0.094552,0.219015,-0.3111125731,0.7774118518
1863,0.104,0.6806651024,0.146068,0.22639,0.5784462006,-0.1662390983
1864,0.112,0.6787248362,0.2067,0.228825,0.7437851067,-0.3885852705
1865,0.119,0.6792591724,0.273692,0.236465,0.0835405944,0.204561578
1866,0.122,0.6757238341,0.334324,0.244015,0.3544954036,-0.1351105696
1867,0.13,0.673889034,0.385204,0.25209,0.613313682,-0.446718648
1868,0.135,0.6724906384,0.426544,0.259695,0.5464667956,-0.4252151573
1869,0.142,0.67273931,0.458344,0.26803,0.3232710282,-0.2349057182
1870,0.147,0.7421768373,0.480816,0.271125,0.4100966771,-0.2728608398
1871,0.156,0.7715766524,0.494596,0.27913,-0.0745947782,0.2284454306
1872,0.173,0.7914961679,0.496504,0.287825,0.0442752825,0.1358918854
1873,0.184,0.8113395609,0.485692,0.295945,0.3312255354,-0.1175229746
1874,0.174,0.8267217399,0.46216,0.30465,0.276992116,-0.0430803761
1875,0.188,0.8417308604,0.430572,0.313115,0.3640936628,-0.0780498024
1876,0.191,0.8541185459,0.409584,0.3218,0.761827787,-0.4480932412
1877,0.194,0.8643540648,0.404072,0.33546,0.9837435062,-0.6649214414
1878,0.196,0.8731836157,0.413824,0.34427,0.4397983898,-0.1287087741
1879,0.21,0.8788236182,0.437144,0.35277,-0.1227986992,0.4217083175
1880,0.236,0.8764424715,0.467672,0.36152,0.5227041536,-0.2394536822
1881,0.243,0.8904162158,0.5035,0.370275,-0.133626731,0.3932679468
1882,0.256,0.8998244431,0.544628,0.37901,-0.0761797756,0.3083662187
1883,0.272,0.9110331276,0.591268,0.38723,0.8211579517,-0.6166228241
1884,0.275,0.920035733,0.646176,0.395745,1.0586083432,-0.9054936103
1885,0.277,0.9281631127,0.718468,0.404035,0.2593712005,-0.1767110878
1886,0.281,0.9319519758,0.782068,0.40716,0.6914440298,-0.667720054
1887,0.295,0.9359215288,0.820652,0.415325,0.8583408036,-0.8633962749
1888,0.327,0.9403355872,0.838036,0.418595,0.9231258575,-0.9124212703
1889,0.327,0.9461374999,0.851392,0.426245,0.6655924934,-0.6700919935
1890,0.356,0.9787881442,0.862204,0.433865,0.7213520649,-0.6826329208
1891,0.372,1.0054110467,0.860084,0.43643,0.1786193241,-0.0977222775
1892,0.374,1.0209182585,0.842912,0.44394,0.3378422356,-0.2297759771
1893,0.37,1.0319135718,0.811324,0.45139,0.6230807762,-0.4838812044
1894,0.383,1.0438428435,0.772104,0.45927,0.4777044152,-0.2822355717
1895,0.406,1.0544331482,0.726312,0.46162,0.6406735639,-0.3681724158
1896,0.419,1.0627256392,0.663984,0.46931,1.1015571394,-0.7531255002
1897,0.44,1.0730139951,0.589572,0.47716,1.131493686,-0.6852116909
1898,0.465,1.0776641936,0.53106,0.479805,0.678002336,-0.1462031424
1899,0.507,1.0812255007,0.495656,0.487715,0.2205292195,0.3843252812
1900,0.534,1.1190538829,0.481664,0.491055,0.7693754019,-0.0890405189
1901,0.552,1.1485184502,0.483148,0.499255,0.1969438843,0.5211715659
1902,0.566,1.1665360007,0.497988,0.502425,-0.2489491477,0.9810721484
1903,0.617,1.1830638007,0.524912,0.51101,1.2170032554,-0.4528614546
1904,0.624,1.1970654351,0.563496,0.519745,1.5157109017,-0.7778864666
1905,0.663,1.2079041955,0.608228,0.52319,0.2963873819,0.4430988136
1906,0.707,1.2152758544,0.641088,0.531915,1.0433221686,-0.2940493143
1907,0.784,1.2259810349,0.668012,0.540975,1.1987460688,-0.3977520339
1908,0.75,1.2281478778,0.687728,0.549505,1.0425093231,-0.3015944453
1909,0.785,1.2381716668,0.699388,0.55817,0.7212756308,0.044338036
1910,0.819,1.2146435486,0.706596,0.56192,1.0454886662,-0.2803611176
1911,0.836,1.2080211761,0.72398,0.570295,0.3558287084,0.3939174677
1912,0.879,1.1969451556,0.754508,0.57396,0.4838831444,0.2635940112
1913,0.943,1.1903757458,0.787792,0.582225,0.6618229119,0.1015358339
1914,0.85,1.1701824476,0.813868,0.58512,0.8592013044,-0.2380068568
1915,0.838,1.1598162005,0.834432,0.593875,0.6009310685,-0.031421868
1916,0.901,1.1512151975,0.846092,0.596995,1.0249481104,-0.4158199129
1917,0.955,1.1462603993,0.84694,0.6049,1.6519315739,-1.0025111746
1918,0.936,1.1451221399,0.834432,0.612745,0.8738450902,-0.2398999503
1919,0.806,1.1453820693,0.807932,0.61601,0.0965415901,0.4308984792
1920,0.932,1.1973725367,0.774224,0.62373,1.111764518,-0.3803459813
1921,0.803,1.2268664293,0.747936,0.63178,1.0764092394,-0.4262588101
1922,0.845,1.2504014557,0.731824,0.634325,0.4902626158,0.2389898399
1923,0.97,1.2612654402,0.725464,0.642225,1.2872500787,-0.4236736386
1924,0.963,1.270821799,0.72716,0.644645,0.434392357,0.427624442
1925,0.975,1.2775986498,0.732248,0.65195,0.9179162304,-0.0495155806
1926,0.983,1.2818912839,0.744544,0.654085,0.223502205,0.6427600788
1927,1.062,1.287328969,0.760444,0.655995,1.0546651042,-0.1217751352
1928,1.065,1.2882040153,0.778464,0.662745,0.269986308,0.6420087073
1929,1.145,1.286156593,0.789488,0.66403,0.5054936352,0.4721449578
1930,1.053,1.3487436414,0.790548,0.665485,0.7610037689,0.1847068725
1931,0.94,1.3897156894,0.789912,0.666855,-0.0744924026,0.947441092
1932,0.847,1.4133174848,0.788428,0.67242,0.7053983298,0.0940711549
1933,0.893,1.4409780234,0.786096,0.67314,0.5736198805,0.3011221429
1934,0.973,1.4604271121,0.782068,0.673565,0.8309285156,0.1468655964
1935,1.027,1.4780763357,0.773588,0.673935,0.5792706119,0.4782827237
1936,1.13,1.4959950687,0.757688,0.673925,0.3663363608,0.8280457079
1937,1.209,1.5062278965,0.73776,0.673775,0.4154024059,0.8882904906
1938,1.142,1.5132315153,0.71338,0.673425,0.5349651259,0.7334613894
1939,1.192,1.5158448801,0.67098,0.673255,1.2903216662,0.0732882139
1940,1.299,1.5428479751,0.606108,0.673305,1.0022599069,0.5601750682
1941,1.334,1.5663489307,0.52258,0.66803,0.3581446834,1.3515942473
1942,1.342,1.5615966455,0.4293,0.66835,0.8452054321,0.9607412133
1943,1.391,1.5539924802,0.3339,0.668845,1.0722738405,0.8699736397
1944,1.383,1.5438885785,0.259276,0.66985,0.0468949924,1.9508675861
1945,1.16,1.5324888988,0.214332,0.671235,0.5903200522,1.2166018466
1946,1.238,1.5227885256,0.203096,0.678325,0.3745649243,1.5048026012
1947,1.392,1.512101376,0.214968,0.681085,1.0969846285,0.9110637475
1948,1.469,1.4959903973,0.249948,0.68902,1.0791771296,0.9468452678
1949,1.419,1.4705595437,0.302948,0.69308,0.6228586672,1.2706728765
1950,1.63,1.5504818186,0.362096,0.702545,1.9701503348,0.1456904838
1951,1.767,1.5980461958,0.418488,0.71233,0.7850542351,1.4491739607
1952,1.795,1.6171416026,0.479332,0.7284,-0.1505879111,2.3549975137
1953,1.841,1.6445025572,0.547384,0.74464,1.0200589073,1.17341965
1954,1.865,1.6734604348,0.622008,0.756845,0.8900366111,1.2695708237
1955,2.042,1.6979964041,0.699176,0.76967,1.9603433454,0.3108070587
1956,2.177,1.7299971009,0.774436,0.78329,2.4645481318,-0.115277031
1957,2.27,1.7569670256,0.869836,0.792965,0.8002617398,1.5639042857
1958,2.33,1.787472077,1.01972,0.807815,0.0508549432,2.2390821339
1959,2.4172400738,1.8103646677,2.0448,0.7567593564,0.5641968887,0.8618484964
1960,2.5502242462,1.6522492791,1.5123,0.7904143262,1.3321507234,0.5676084757
1961,2.5561831849,1.5746800706,1.6614,0.6809901719,0.6874263369,1.1010467467
1962,2.6468975061,1.5265188908,1.1928,0.7534451252,1.3188295127,0.9083417591
1963,2.7968058995,1.4676559116,1.2141,0.8878919896,1.0916832159,1.0707866057
1964,2.9423055079,1.4144130096,1.0437,1.0380866739,1.4756043565,0.7993274871
1965,3.0789781469,1.3629055365,2.343,1.1720919398,0.535499046,0.3912926976
1966,3.2221559974,1.318462435,2.343,1.1491773176,1.4333009115,-0.3848597966
1967,3.325284604,1.2951815251,1.2993,0.9664556791,1.6882888906,0.6664215595
1968,3.5067761238,1.2900534258,2.1087,1.0702799805,2.4811281026,-0.8632785335
1969,3.7403430995,1.2956680159,2.8116,1.1070527412,0.5183535326,0.5990048415
1970,4.0501253838,1.271824423,2.4069,1.0326191861,0.4260514079,1.4563792128
1971,4.213719956,1.2471406268,1.5549,1.128278948,2.5155912856,0.2620903493
1972,4.4095791904,1.2166603055,3.1311,1.343140156,1.1668274559,-0.0148281161
1973,4.6439009822,1.1930093809,3.1098,1.2994691357,1.3942980896,0.0333431378
1974,4.6238224157,1.1588369857,1.4484,1.2351677165,3.9276869107,-0.8285952257
1975,4.6179602931,1.1360972408,2.6199,1.2310947851,2.3945532133,-0.4914904645
1976,4.8629579434,1.1212929113,2.0661,1.3210350069,2.9827693832,-0.3856535355
1977,4.9964691667,1.1031171265,4.0896,1.3981560214,1.4249578791,-0.8131276073
1978,5.179521322,1.065987213,2.7477,1.4373897023,2.6500312106,-0.5896123779
1979,5.317644323,1.0386992796,4.5582,1.3563019687,1.444255902,-1.0024142681
1980,5.2922257893,1.0849851625,3.621,1.6288639862,0.5011000716,0.626246894
1981,5.1485214967,1.102055435,2.4495,1.6171852478,2.2502952362,-0.0664035523
1982,5.1103021304,1.1174405876,2.13,1.7025704275,1.4935962345,0.901576056
1983,5.1587482385,1.1601088689,3.9405,1.8261309898,0.227431279,0.3247948386
1984,5.3088640374,1.1983848309,2.6412,1.6952644332,2.7126895069,-0.5419050719
1985,5.4979833725,1.2182106482,3.4506,1.6487402646,2.6505246948,-1.0336709387
1986,5.5762670621,1.2537486936,2.1726,1.7291614224,2.2062169942,0.7220373392
1987,5.7570508339,1.2910954837,5.751,1.8238169224,0.4276551367,-0.9543257414
1988,5.9772678844,1.3078038938,4.7925,1.7076668776,1.9301991818,-1.1452942812
1989,6.0673264717,1.33468931,2.9394,1.7017748352,3.362522284,-0.6016813375
1990,6.2002019512,1.3082016197,2.4921,1.8163352077,2.2690388296,0.9309295336
1991,6.3294085884,1.3066275182,1.5762,1.9089131013,2.1942380496,1.9566849557
1992,6.131666333,1.3151998224,1.491,2.0995610391,2.099321882,1.7569832343
1993,6.1998773416,1.3129400724,2.6199,2.0284261393,2.8315064481,0.0329848266
1994,6.2439463153,1.3068212776,3.5784,1.9031101708,1.4135870414,0.6556703808
1995,6.3787016018,1.292054212,4.1535,1.9078934974,1.6927566914,-0.0833943749
1996,6.5773898445,1.2659575776,2.2578,1.8597920487,3.0555172582,0.6702381151
