Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,1,276.048
World,OWID_WRL,2,276.097
World,OWID_WRL,3,276.149
World,OWID_WRL,4,276.205
World,OWID_WRL,5,276.263
World,OWID_WRL,6,276.325
World,OWID_WRL,7,276.389
World,OWID_WRL,8,276.454
World,OWID_WRL,9,276.522
World,OWID_WRL,10,276.591
World,OWID_WRL,11,276.661
World,OWID_WRL,12,276.731
World,OWID_WRL,13,276.803
World,OWID_WRL,14,276.874
World,OWID_WRL,15,276.945
World,OWID_WRL,16,277.015
World,OWID_WRL,17,277.085
World,OWID_WRL,18,277.153
World,OWID_WRL,19,277.22
World,OWID_WRL,20,277.285
World,OWID_WRL,21,277.348
World,OWID_WRL,22,277.408
World,OWID_WRL,23,277.466
World,OWID_WRL,24,277.52
World,OWID_WRL,25,277.571
World,OWID_WRL,26,277.618
World,OWID_WRL,27,277.661
World,OWID_WRL,28,277.7
World,OWID_WRL,29,277.733
World,OWID_WRL,30,277.762
World,OWID_WRL,31,277.786
World,OWID_WRL,32,277.804
World,OWID_WRL,33,277.818
World,OWID_WRL,34,277.828
World,OWID_WRL,35,277.833
World,OWID_WRL,36,277.835
World,OWID_WRL,37,277.833
World,OWID_WRL,38,277.827
World,OWID_WRL,39,277.819
World,OWID_WRL,40,277.808
World,OWID_WRL,41,277.794
World,OWID_WRL,42,277.778
World,OWID_WRL,43,277.759
World,OWID_WRL,44,277.739
World,OWID_WRL,45,277.717
World,OWID_WRL,46,277.694
World,OWID_WRL,47,277.67
World,OWID_WRL,48,277.645
World,OWID_WRL,49,277.619
World,OWID_WRL,50,277.593
World,OWID_WRL,51,277.567
World,OWID_WRL,52,277.541
World,OWID_WRL,53,277.516
World,OWID_WRL,54,277.491
World,OWID_WRL,55,277.467
World,OWID_WRL,56,277.445
World,OWID_WRL,57,277.424
World,OWID_WRL,58,277.404
World,OWID_WRL,59,277.386
World,OWID_WRL,60,277.369
World,OWID_WRL,61,277.353
World,OWID_WRL,62,277.339
World,OWID_WRL,63,277.325
World,OWID_WRL,64,277.313
World,OWID_WRL,65,277.303
World,OWID_WRL,66,277.293
World,OWID_WRL,67,277.285
World,OWID_WRL,68,277.277
World,OWID_WRL,69,277.271
World,OWID_WRL,70,277.266
World,OWID_WRL,71,277.262
World,OWID_WRL,72,277.259
World,OWID_WRL,73,277.256
World,OWID_WRL,74,277.255
World,OWID_WRL,75,277.255
World,OWID_WRL,76,277.255
World,OWID_WRL,77,277.256
World,OWID_WRL,78,277.258
World,OWID_WRL,79,277.261
World,OWID_WRL,80,277.264
World,OWID_WRL,81,277.268
World,OWID_WRL,82,277.273
World,OWID_WRL,83,277.278
World,OWID_WRL,84,277.284
World,OWID_WRL,85,277.291
World,OWID_WRL,86,277.298
World,OWID_WRL,87,277.306
World,OWID_WRL,88,277.314
World,OWID_WRL,89,277.322
World,OWID_WRL,90,277.331
World,OWID_WRL,91,277.34
World,OWID_WRL,92,277.35
World,OWID_WRL,93,277.36
World,OWID_WRL,94,277.37
World,OWID_WRL,95,277.38
World,OWID_WRL,96,277.391
World,OWID_WRL,97,277.402
World,OWID_WRL,98,277.413
World,OWID_WRL,99,277.424
World,OWID_WRL,100,277.435
World,OWID_WRL,101,277.447
World,OWID_WRL,102,277.458
World,OWID_WRL,103,277.469
World,OWID_WRL,104,277.48
World,OWID_WRL,105,277.491
World,OWID_WRL,106,277.503
World,OWID_WRL,107,277.514
World,OWID_WRL,108,277.525
World,OWID_WRL,109,277.536
World,OWID_WRL,110,277.548
