Date,CO2
1959.0411,315.27
1959.126,315.34
1959.2027,315.41
1959.2877,315.48
1959.3699,315.55
1959.4548,315.62
1959.537,315.69
1959.6219,315.76
1959.7068,315.83
1959.789,315.9
1959.874,315.98
1959.9562,316.05
1960.041,316.12
1960.1257,316.19
1960.2049,316.25
1960.2896,316.31
1960.3716,316.37
1960.4563,316.43
1960.5383,316.48
1960.623,316.53
1960.7077,316.59
1960.7896,316.64
1960.8743,316.69
1960.9563,316.74
1961.0411,316.79
1961.126,316.85
1961.2027,316.9
1961.2877,316.95
1961.3699,317.01
1961.4548,317.07
1961.537,317.12
1961.6219,317.19
1961.7068,317.25
1961.789,317.31
1961.874,317.36
1961.9562,317.4
1962.0411,317.44
1962.126,317.46
1962.2027,317.48
1962.2877,317.49
1962.3699,317.5
1962.4548,317.52
1962.537,317.55
1962.6219,317.59
1962.7068,317.65
1962.789,317.73
1962.874,317.81
1962.9562,317.9
1963.0411,317.98
1963.126,318.06
1963.2027,318.13
1963.2877,318.2
1963.3699,318.26
1963.4548,318.31
1963.537,318.35
1963.6219,318.39
1963.7068,318.43
1963.789,318.47
1963.874,318.5
1963.9562,318.53
1964.041,318.55
1964.1257,318.58
1964.2049,318.6
1964.2896,318.62
1964.3716,318.65
1964.4563,318.67
1964.5383,318.7
1964.623,318.73
1964.7077,318.76
1964.7896,318.8
1964.8743,318.84
1964.9563,318.89
1965.0411,318.95
1965.126,319.01
1965.2027,319.07
1965.2877,319.15
1965.3699,319.24
1965.4548,319.34
1965.537,319.45
1965.6219,319.57
1965.7068,319.7
1965.789,319.83
1965.874,319.97
1965.9562,320.1
1966.0411,320.23
1966.126,320.36
1966.2027,320.46
1966.2877,320.56
1966.3699,320.64
1966.4548,320.72
1966.537,320.79
1966.6219,320.86
1966.7068,320.92
1966.789,320.98
1966.874,321.03
1966.9562,321.08
1967.0411,321.12
1967.126,321.16
1967.2027,321.2
1967.2877,321.23
1967.3699,321.26
1967.4548,321.29
1967.537,321.33
1967.6219,321.37
1967.7068,321.41
1967.789,321.46
1967.874,321.51
1967.9562,321.56
1968.041,321.62
1968.1257,321.68
1968.2049,321.74
1968.2896,321.8
1968.3716,321.86
1968.4563,321.93
1968.5383,322.01
1968.623,322.09
1968.7077,322.17
1968.7896,322.26
1968.8743,322.35
1968.9563,322.44
1969.0411,322.54
1969.126,322.64
1969.2027,322.74
1969.2877,322.85
1969.3699,322.95
1969.4548,323.07
1969.537,323.18
1969.6219,323.29
1969.7068,323.4
1969.789,323.51
1969.874,323.61
1969.9562,323.71
1970.0411,323.81
1970.126,323.91
1970.2027,324
1970.2877,324.1
1970.3699,324.2
1970.4548,324.3
1970.537,324.39
1970.6219,324.48
1970.7068,324.56
1970.789,324.64
1970.874,324.71
1970.9562,324.78
1971.0411,324.84
1971.126,324.89
1971.2027,324.94
1971.2877,324.99
1971.3699,325.04
1971.4548,325.09
1971.537,325.14
1971.6219,325.19
1971.7068,325.24
1971.789,325.29
1971.874,325.35
1971.9562,325.41
1972.041,325.48
1972.1257,325.55
1972.2049,325.63
1972.2896,325.72
1972.3716,325.81
1972.4563,325.92
1972.5383,326.03
1972.623,326.14
1972.7077,326.26
1972.7896,326.39
1972.8743,326.53
1972.9563,326.67
1973.0411,326.82
1973.126,326.97
1973.2027,327.12
1973.2877,327.28
1973.3699,327.44
1973.4548,327.6
1973.537,327.75
1973.6219,327.89
1973.7068,328.01
1973.789,328.11
1973.874,328.2
1973.9562,328.26
1974.0411,328.31
1974.126,328.35
1974.2027,328.37
1974.2877,328.39
1974.3699,328.4
1974.4548,328.43
1974.537,328.46
1974.6219,328.51
1974.7068,328.58
1974.789,328.66
1974.874,328.75
1974.9562,328.85
1975.0411,328.96
1975.126,329.06
1975.2027,329.15
1975.2877,329.25
