Date,CO2
1958.2027,314.28
1958.2877,-99.99
1958.3699,-99.99
1958.4548,314.51
1958.537,-99.99
1958.6219,-99.99
1958.7068,315.33
1958.789,-99.99
1958.874,-99.99
1958.9562,-99.99
1959.0411,315.09
1959.126,315.13
1959.2027,315.08
1959.2877,-99.99
1959.3699,-99.99
1959.4548,-99.99
1959.537,-99.99
1959.6219,315.96
1959.7068,316.23
1959.789,-99.99
1959.874,316.32
1959.9562,-99.99
1960.041,-99.99
1960.1257,-99.99
1960.2049,-99.99
1960.2896,-99.99
1960.3716,-99.99
1960.4563,316.39
1960.5383,316.71
1960.623,316.75
1960.7077,-99.99
1960.7896,-99.99
1960.8743,-99.99
1960.9563,-99.99
1961.0411,-99.99
1961.126,-99.99
1961.2027,-99.99
1961.2877,-99.99
1961.3699,316.79
1961.4548,316.86
1961.537,316.94
1961.6219,317.35
1961.7068,317.87
1961.789,317.75
1961.874,317.87
1961.9562,317.67
1962.0411,317.45
1962.126,317.26
1962.2027,317.06
1962.2877,317.11
1962.3699,317.18
1962.4548,317.24
1962.537,317.27
1962.6219,317.64
1962.7068,318.07
1962.789,-99.99
1962.874,-99.99
1962.9562,-99.99
1963.0411,318.13
1963.126,317.87
1963.2027,317.47
1963.2877,317.89
1963.3699,318.13
1963.4548,318.22
1963.537,318.26
1963.6219,318.64
1963.7068,318.56
1963.789,319.03
1963.874,-99.99
1963.9562,-99.99
1964.041,-99.99
1964.1257,-99.99
1964.2049,-99.99
1964.2896,-99.99
1964.3716,-99.99
1964.4563,-99.99
1964.5383,-99.99
1964.623,-99.99
1964.7077,-99.99
1964.7896,-99.99
1964.8743,-99.99
1964.9563,-99.99
1965.0411,-99.99
1965.126,318.68
1965.2027,318.56
1965.2877,318.67
1965.3699,318.88
1965.4548,-99.99
1965.537,319.38
1965.6219,319.68
1965.7068,-99.99
1965.789,-99.99
1965.874,320.17
1965.9562,320.26
1966.0411,320.34
1966.126,319.99
1966.2027,320.06
1966.2877,320.31
1966.3699,320.44
1966.4548,320.46
1966.537,-99.99
1966.6219,321.08
1966.7068,321.35
1966.789,321.45
1966.874,321.56
1966.9562,321.07
1967.0411,-99.99
1967.126,321
1967.2027,-99.99
1967.2877,320.86
1967.3699,321
1967.4548,320.96
1967.537,321.06
1967.6219,321.83
1967.7068,322.07
1967.789,321.79
1967.874,321.81
1967.9562,321.78
1968.041,321.53
1968.1257,-99.99
1968.2049,-99.99
1968.2896,321.61
1968.3716,321.46
1968.4563,321.44
1968.5383,-99.99
1968.623,-99.99
1968.7077,-99.99
1968.7896,-99.99
1968.8743,-99.99
1968.9563,322.65
1969.0411,322.36
1969.126,-99.99
1969.2027,322.26
1969.2877,322.29
1969.3699,322.58
1969.4548,322.78
1969.537,323.23
1969.6219,323.6
1969.7068,324.13
1969.789,323.93
1969.874,323.96
1969.9562,-99.99
1970.0411,323.69
1970.126,323.53
1970.2027,323.43
1970.2877,323.68
1970.3699,323.78
1970.4548,324.19
1970.537,324.47
1970.6219,324.72
1970.7068,325.18
1970.789,325.19
1970.874,325.23
1970.9562,-99.99
1971.0411,324.8
1971.126,324.61
1971.2027,324.32
1971.2877,324.47
1971.3699,324.67
1971.4548,324.92
1971.537,325.15
1971.6219,-99.99
1971.7068,325.76
1971.789,-99.99
1971.874,325.72
1971.9562,-99.99
1972.041,-99.99
1972.1257,-99.99
1972.2049,325.05
1972.2896,325.17
1972.3716,325.31
1972.4563,325.83
1972.5383,326.14
1972.623,326.85
1972.7077,326.53
1972.7896,326.76
1972.8743,326.94
1972.9563,326.82
1973.0411,326.75
1973.126,326.34
1973.2027,326.35
1973.2877,326.82
1973.3699,327.11
1973.4548,327.43
1973.537,327.74
1973.6219,328.4
1973.7068,328.69
1973.789,328.62
1973.874,328.58
1973.9562,328.6
1974.0411,328.3
1974.126,328.08
1974.2027,328.08
1974.2877,327.96
1974.3699,328.01
1974.4548,327.88
1974.537,328.46
1974.6219,328.69
1974.7068,328.94
1974.789,329.03
1974.874,329.11
1974.9562,328.99
1975.0411,328.89
1975.126,328.9
1975.2027,328.85
1975.2877,328.94
1975.3699,328.93
1975.4548,329.07
1975.537,329.35
1975.6219,329.82
1975.7068,330.22
1975.789,330.55
1975.874,330.45
1975.9562,330.28
1976.041,330.31
1976.1257,330.01
1976.2049,329.91
1976.2896,329.63
1976.3716,329.93
1976.4563,329.98
1976.5383,330.46
1976.623,331
1976.7077,331.38
1976.7896,331.69
1976.8743,331.63
1976.9563,331.43
1977.0411,331.26
