Year,SOI
1959.0416666668,-8.7
1959.1250000002,-14
1959.2083333335,8.4
1959.2916666668,3.6
1959.3750000002,2.8
1959.4583333335,-6.3
1959.5416666668,-5
1959.6250000002,-5
1959.7083333335,0.2
1959.7916666668,4.2
1959.8750000002,11.1
1959.9583333335,8.2
1960.0416666668,0.3
1960.1250000002,-2.2
1960.2083333335,5.6
1960.2916666668,7.8
1960.3750000002,5.2
1960.4583333335,-2.3
1960.5416666668,4.8
1960.6250000002,6.6
1960.7083333335,6.9
1960.7916666668,-0.7
1960.8750000002,7.2
1960.9583333335,6.7
1961.0416666668,-2.5
1961.1250000002,6.3
1961.2083333335,-20.9
1961.2916666668,9.4
1961.3750000002,1.3
1961.4583333335,-3.1
1961.5416666668,2.2
1961.6250000002,0.1
1961.7083333335,0.8
1961.7916666668,-5
1961.8750000002,7.2
1961.9583333335,13.8
1962.0416666668,17
1962.1250000002,5.3
1962.2083333335,-1.4
1962.2916666668,1.2
1962.3750000002,12.3
1962.4583333335,5
1962.5416666668,-0.4
1962.6250000002,4.6
1962.7083333335,5.1
1962.7916666668,10.3
1962.8750000002,5.2
1962.9583333335,0.6
1963.0416666668,9.4
1963.1250000002,3
1963.2083333335,7.3
1963.2916666668,6.1
1963.3750000002,2.8
1963.4583333335,-9.6
1963.5416666668,-1
1963.6250000002,-2.4
1963.7083333335,-5.2
1963.7916666668,-12.9
1963.8750000002,-9.3
1963.9583333335,-11.6
1964.0416666668,-4
1964.1250000002,-0.3
1964.2083333335,8.4
1964.2916666668,13.5
1964.3750000002,2.8
1964.4583333335,7.4
1964.5416666668,6.8
1964.6250000002,14.3
1964.7083333335,14.1
1964.7916666668,12.8
1964.8750000002,2.6
1964.9583333335,-3
1965.0416666668,-4
1965.1250000002,1.6
1965.2083333335,2.9
1965.2916666668,-12.9
1965.3750000002,-0.3
1965.4583333335,-12.8
1965.5416666668,-22.6
1965.6250000002,-11.4
1965.7083333335,-14.2
1965.7916666668,-11.1
1965.8750000002,-17.9
1965.9583333335,1.6
1966.0416666668,-12
1966.1250000002,-4.1
1966.2083333335,-13.9
1966.2916666668,-7.1
1966.3750000002,-9
1966.4583333335,1
1966.5416666668,-1
1966.6250000002,4
1966.7083333335,-2.2
1966.7916666668,-2.5
1966.8750000002,-0.1
1966.9583333335,-4
1967.0416666668,14.6
1967.1250000002,12.9
1967.2083333335,7.8
1967.2916666668,-3
1967.3750000002,-3.5
1967.4583333335,6.6
1967.5416666668,1.6
1967.6250000002,5.9
1967.7083333335,5.1
1967.7916666668,-0.1
1967.8750000002,-4
1967.9583333335,-5.5
1968.0416666668,4.1
1968.1250000002,9.6
1968.2083333335,-3
1968.2916666668,-3
1968.3750000002,14.7
1968.4583333335,12.3
1968.5416666668,7.4
1968.6250000002,0.1
1968.7083333335,-2.8
1968.7916666668,-1.9
1968.8750000002,-3.4
1968.9583333335,2.1
1969.0416666668,-13.5
1969.1250000002,-6.9
1969.2083333335,1.8
1969.2916666668,-8.8
1969.3750000002,-6.6
1969.4583333335,-0.6
1969.5416666668,-6.9
1969.6250000002,-4.4
1969.7083333335,-10.6
1969.7916666668,-11.7
1969.8750000002,-0.1
1969.9583333335,3.7
1970.0416666668,-10.1
1970.1250000002,-10.7
1970.2083333335,1.8
1970.2916666668,-4.6
1970.3750000002,2.1
1970.4583333335,9.9
1970.5416666668,-5.6
1970.6250000002,4
1970.7083333335,12.9
1970.7916666668,10.3
1970.8750000002,19.7
1970.9583333335,17.4
1971.0416666668,2.7
1971.1250000002,15.7
1971.2083333335,19.2
1971.2916666668,22.6
1971.3750000002,9.2
1971.4583333335,2.6
1971.5416666668,1.6
1971.6250000002,14.9
1971.7083333335,15.9
1971.7916666669,17.7
1971.8750000002,7.2
1971.9583333335,2.1
1972.0416666669,3.7
1972.1250000002,8.2
1972.2083333335,2.4
1972.2916666669,-5.5
1972.3750000002,-16.1
1972.4583333335,-12
1972.5416666669,-18.6
1972.6250000002,-8.9
1972.7083333335,-14.8
1972.7916666669,-11.1
1972.8750000002,-3.4
1972.9583333335,-12.1
1973.0416666669,-3
1973.1250000002,-13.5
1973.2083333335,0.8
1973.2916666669,-2.1
1973.3750000002,2.8
1973.4583333335,12.3
1973.5416666669,6.1
1973.6250000002,12.3
1973.7083333335,13.5
1973.7916666669,9.7
1973.8750000002,31.6
1973.9583333335,16.9
1974.0416666669,20.8
1974.1250000002,16.2
1974.2083333335,20.3
1974.2916666669,11.1
1974.3750000002,10.7
1974.4583333335,2.6
1974.5416666669,12
1974.6250000002,6.6
1974.7083333335,12.3
1974.7916666669,8.5
1974.8750000002,-1.4
1974.9583333335,-0.9
1975.0416666669,-4.9
1975.1250000002,5.3
1975.2083333335,11.6
1975.2916666669,14.4
1975.3750000002,6
1975.4583333335,15.5
1975.5416666669,21.1
1975.6250000002,20.7
1975.7083333335,22.5
1975.7916666669,17.7
1975.8750000002,13.8
1975.9583333335,19.5
1976.0416666669,11.8
1976.1250000002,12.9
1976.2083333335,13.2
1976.2916666669,1.2
1976.3750000002,2.1
1976.4583333335,0.2
1976.5416666669,-12.8
1976.6250000002,-12.1
1976.7083333335,-13
1976.7916666669,3
1976.8750000002,9.8
1976.9583333335,-3
1977.0416666669,-4
1977.1250000002,7.7
1977.2083333335,-9.5
1977.2916666669,-9.6
1977.3750000002,-11.4
1977.4583333335,-17.7
1977.5416666669,-14.7
1977.6250000002,-12.1
1977.7083333335,-9.4
1977.7916666669,-12.9
1977.8750000002,-14.6
1977.9583333335,-10.6
1978.0416666669,-3
1978.1250000002,-24.4
1978.2083333335,-5.8
1978.2916666669,-7.9
1978.3750000002,16.3
1978.4583333335,5.8
1978.5416666669,6.1
1978.6250000002,1.4
1978.7083333335,0.8
1978.7916666669,-6.2
1978.8750000002,-2
1978.9583333335,-0.9
1979.0416666669,-4
1979.1250000002,6.7
1979.2083333335,-3
1979.2916666669,-5.5
1979.3750000002,3.6
1979.4583333335,5.8
