Year,Temp
1957,14.244
1958,14.243
1959,14.214
1960,14.166
1961,14.25
1962,14.203
1963,14.243
1964,13.976
1965,14.075
1966,14.142
1967,14.185
1968,14.122
1969,14.267
1970,14.204
1971,14.079
1972,14.17
1973,14.288
1974,14.065
1975,14.122
1976,14.016
1977,14.313
1978,14.187
1979,14.274
1980,14.391
1981,14.436
1982,14.222
1983,14.417
1984,14.248
1985,14.235
1986,14.288
1987,14.422
1988,14.468
1989,14.349
1990,14.543
1991,14.525
1992,14.342
1993,14.369
1994,14.422
1995,14.568
1996,14.47
1997,14.613
1998,14.764
1999,14.528
2000,14.543
2001,14.685
2002,14.764
2003,14.749
2004,14.653
2005,14.834
2006,14.784
2007,14.791
2008,14.659
2009,14.792
2010,14.865
2011,14.748
2012,14.763
2013,14.788
2014,14.852
2015,14.991
2016,15.128
2017,15.014
2018,14.947
