Year,Earth_Land,Earth_Ocean
1976,-1.2221708624461018,-1.8593727754463467
1977,0.7017947209134803,-1.455514976211052
1978,-0.7247068053359174,-1.633429336834294
1979,-0.18607626142366263,-1.6005152983383302
1980,-0.15021684999646023,-1.586997893785772
1981,-0.5590904264926307,-1.8904363297993192
1982,-1.2194736559187056,-1.8868777023016068
1983,0.5237901780400627,-1.1818782105753551
1984,-0.5309622335578174,-1.952938710145116
1985,-0.7555383615706808,-1.8379772633684777
1986,-1.1325732930005667,-1.7424295476399627
1987,0.6701838253432209,-1.4243446255517211
1988,0.22852356858377343,-1.72310299890745
1989,-0.9395865323893168,-2.2349579223787344
1990,-0.9336250439717463,-2.19657671869686
1991,-1.5808260801208798,-2.3064756771769477
1992,-2.2247008602302105,-2.243361432441725
1993,-1.5011813156091507,-2.176452485290461
1994,-0.17137370777029837,-1.82874746260152
1995,-0.31908660102685893,-1.8472342001717619
1996,-1.579427450574863,-2.285510745237078
1997,-0.5206659918392338,-2.1524048512993095
1998,0.8422255139808126,-1.6031166559263244
1999,-1.5706351622184478,-2.0956814822183647
2000,-1.3526128214116158,-2.2233464019013573
2001,-0.9077129729861293,-2.148853667947712
2002,-0.28127220195810065,-1.824491734338535
2003,-0.6878790141178701,-2.1362787527609153
2004,-1.8534606294212073,-2.3030421601007096
2005,-0.6329448912330851,-2.0675501295322807
2006,-2.1772276379052737,-2.563489848875924
2007,-1.837613486426377,-2.1617868508653704
2008,-2.5540959107048113,-2.6827003925606348
2009,-2.4263978384520897,-2.4298659033797376
2010,-1.7611293521452138,-2.234269600053365
2011,-2.725556451277944,-2.753487447396606
2012,-1.9447778058959644,-2.424753665136129
2013,-2.297422272943173,-2.3798972969102983
2014,-3.029891784042398,-2.62433908180094
2015,-1.5830870961559065,-2.0544652349838533
2016,-1.454399824156897,-2.098912096435963
2017,-2.9080407464537257,-2.661086532679928
